"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TMAX","TMIN"
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-03-09","0.20",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-03-10","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-03-11","0.10",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-03-12","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-03-13","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-03-14","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-03-15","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-03-16","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-03-17","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-03-18","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-03-19","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-03-20","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-03-21","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-03-22","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-03-23","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-03-24","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-03-25","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-03-26","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-03-27","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-03-28","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-03-29","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-03-30","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-03-31","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-04-01","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-04-02","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-04-03","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-04-04","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-04-05","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-04-06","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-04-07","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-04-08","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-04-09","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-04-10","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-04-11","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-04-12","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-04-13","0.46",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-04-14","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-04-15","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-04-16","0.10",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-04-17","0.50",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-04-18","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-04-19","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-04-20","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-04-21","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-04-22","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-04-23","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-04-24","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-04-25","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-04-26","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-04-27","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-04-28","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-04-29","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-04-30","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-05-01","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-05-02","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-05-03","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-05-04","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-05-05","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-05-06","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-05-07","1.60",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-05-08","0.31",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-05-09","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-05-10","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-05-11","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-05-12","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-05-13","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-05-14","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-05-15","0.42",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-05-16","0.19",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-05-17","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-05-18","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-05-19","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-05-20","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-05-21","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-05-22","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-05-23","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-05-24","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-05-25","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-05-26","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-05-27","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-05-28","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-05-29","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-05-30","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-05-31","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-06-01","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-06-02","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-06-03","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-06-04","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-06-05","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-06-06","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-06-07","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-06-08","0.30",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-06-09","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-06-10","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-06-11","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-06-12","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-06-13","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-06-14","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-06-15","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-06-16","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-06-17","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-06-18","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-06-19","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-06-20","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-06-21","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-06-22","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-06-23","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-06-24","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-06-25","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-06-26","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-06-27","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-06-28","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-06-29","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-06-30","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-07-01","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-07-02","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-07-03","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-07-04","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-07-05","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-07-06","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-07-07","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-07-08","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-07-09","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-07-10","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-07-11","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-07-12","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-07-13","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-07-14","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-07-15","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-07-16","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-07-17","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-07-18","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-07-19","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-07-20","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-07-21","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-07-22","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-07-23","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-07-24","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-07-25","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-07-26","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-07-27","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-07-28","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-07-29","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-07-30","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-07-31","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-08-01","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-08-02","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-08-03","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-08-04","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-08-05","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-08-06","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-08-07","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-08-08","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-08-09","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-08-10","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-08-11","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-08-12","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-08-13","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-08-14","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-08-15","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-08-16","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-08-17","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-08-18","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-08-19","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-08-20","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-08-21","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-08-22","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-08-23","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-08-24","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-08-25","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-08-26","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-08-27","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-08-28","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-08-29","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-08-30","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-08-31","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-09-01","0.18",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-09-02","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-09-03","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-09-04","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-09-05","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-09-06","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-09-07","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-09-08","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-09-09","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-09-10","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-09-11","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-09-12","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-09-13","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-09-14","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-09-15","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-09-16","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-09-17","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-09-18","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-09-19","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-09-20","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-09-21","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-09-22","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-09-23","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-09-24","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-09-25","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-09-26","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-09-27","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-09-28","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-09-29","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-09-30","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-10-01","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-10-02","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-10-03","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-10-04","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-10-05","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-10-06","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-10-07","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-10-08","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-10-09","0.35",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-10-10","0.35",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-10-11","0.35",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-10-12","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-10-13","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-10-14","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-10-15","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-10-16","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-10-17","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-10-18","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-10-19","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-10-20","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-10-21","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-10-22","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-10-23","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-10-24","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-10-25","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-10-26","0.80",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-10-27","0.12",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-10-28","0.10",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-10-29","1.30",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-10-30","0.39",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-10-31","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-11-01","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-11-02","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-11-03","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-11-04","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-11-05","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-11-06","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-11-07","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-11-08","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-11-09","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-11-10","0.02",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-11-11","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-11-12","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-11-13","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-11-14","0.10",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-11-15","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-11-16","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-11-17","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-11-18","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-11-19","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-11-20","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-11-21","0.04",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-11-22","0.09",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-11-23","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-11-24","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-11-25","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-11-26","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-11-27","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-11-28","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-11-29","0.22",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-11-30","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-12-01","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-12-02","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-12-03","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-12-04","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-12-05","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-12-06","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-12-07","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-12-08","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-12-09","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-12-10","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-12-11","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-12-12","0.44",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-12-13","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-12-14","0.12",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-12-15","0.10",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-12-16","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-12-17","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-12-18","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-12-19","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-12-20","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-12-21","0.02",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-12-22","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-12-23","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-12-24","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-12-25","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-12-26","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-12-27","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-12-28","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-12-29","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-12-30","0.00",,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2000-12-31","0.00",,
"USW00023271","SACRAMENTO 5 ESE, CA US","38.5552","-121.4183","11.6","1989-12-01","0.00","64","41"
"USW00023271","SACRAMENTO 5 ESE, CA US","38.5552","-121.4183","11.6","1989-12-02","0.00","63","39"
"USW00023271","SACRAMENTO 5 ESE, CA US","38.5552","-121.4183","11.6","1989-12-03","0.00","64","40"
"USW00023271","SACRAMENTO 5 ESE, CA US","38.5552","-121.4183","11.6","1989-12-04","0.00","68","39"
"USW00023271","SACRAMENTO 5 ESE, CA US","38.5552","-121.4183","11.6","1989-12-05","0.00","68","45"
"USW00023271","SACRAMENTO 5 ESE, CA US","38.5552","-121.4183","11.6","1989-12-06","0.00","70","43"
"USW00023271","SACRAMENTO 5 ESE, CA US","38.5552","-121.4183","11.6","1989-12-07","0.00","59","39"
"USW00023271","SACRAMENTO 5 ESE, CA US","38.5552","-121.4183","11.6","1989-12-08","0.00","57","37"
"USW00023271","SACRAMENTO 5 ESE, CA US","38.5552","-121.4183","11.6","1989-12-09","0.00","64","45"
